SeqIDs	lh1	lh2	lh3	weight1	weight2	weight3	area	corner
(3,4,5,8)	-1254.02	-1251.04	-1252.7	0.0407127	0.805707	0.15358	2	2
(4,6,2,5)	-1174.1	-1169.77	-1175.4	0.0129214	0.983545	0.00353384	2	2
(2,1,5,7)	-1139.98	-1148.1	-1148.64	0.999526	0.000299993	0.000173699	1	1
(8,2,5,7)	-1284.97	-1285.88	-1284.24	0.287174	0.115798	0.597027	6	3
(8,4,3,7)	-1224.88	-1225.99	-1226.17	0.623051	0.205142	0.171807	7	1
(1,7,8,2)	-1238.51	-1238.97	-1231.42	0.00083048	0.0005241	0.998645	3	3
(7,8,3,1)	-1182.18	-1182.9	-1181.31	0.258848	0.125597	0.615555	6	3
(5,8,3,4)	-1254.03	-1251.04	-1252.7	0.0404694	0.805883	0.153648	2	2
(7,3,4,6)	-1066.14	-1066.19	-1052.89	1.76276e-06	1.67828e-06	0.999997	3	3
(1,5,2,6)	-1123.27	-1114.01	-1122.63	9.47804e-05	0.999725	0.000179878	2	2
(2,8,6,7)	-1199.42	-1203.43	-1204.46	0.976044	0.017653	0.00630316	1	1
(1,4,3,8)	-1199.18	-1198.48	-1200.04	0.291457	0.58502	0.123523	4	2
(4,2,7,1)	-1141.55	-1139.3	-1143.77	0.0947964	0.894974	0.0102301	2	2
(5,3,8,4)	-1251.04	-1254.03	-1252.7	0.805866	0.0404685	0.153665	1	1
(2,7,8,6)	-1204.46	-1199.42	-1203.43	0.00630321	0.976078	0.0176185	2	2
(1,8,4,3)	-1200.04	-1199.18	-1198.48	0.123501	0.291572	0.584927	5	3
(2,6,5,8)	-1272.37	-1272.29	-1271.2	0.189005	0.204725	0.606271	7	3
(5,7,4,6)	-1098.88	-1089.69	-1098.92	0.000101987	0.9998	9.81895e-05	2	2
(7,8,4,2)	-1278.63	-1282.41	-1280.96	0.892325	0.0204277	0.0872472	1	1
(2,4,8,6)	-1266.93	-1268.48	-1267.07	0.479412	0.102329	0.41826	6	1
(5,4,2,3)	-1165.91	-1165.34	-1162.17	0.0223368	0.0396076	0.938056	3	3
(4,8,6,7)	-1173.16	-1180.73	-1181.6	0.999273	0.00051234	0.000215154	1	1
(7,6,2,8)	-1199.42	-1204.46	-1203.43	0.976049	0.00630869	0.0176428	1	1
(5,4,6,1)	-1119.78	-1117.47	-1119.53	0.0805645	0.81553	0.103906	2	2
(6,7,4,1)	-1047.51	-1063.57	-1063.57	1	1.05665e-07	1.05641e-07	1	1
(3,6,5,8)	-1215.18	-1215.12	-1209.64	0.00390286	0.00413986	0.991957	3	3
(5,3,6,4)	-1131.16	-1129.67	-1131.25	0.157266	0.699202	0.143532	2	2
(4,2,8,5)	-1291.84	-1290.73	-1293.13	0.231815	0.704082	0.0641034	4	2
(3,5,6,8)	-1215.12	-1215.18	-1209.64	0.00413746	0.0039006	0.991962	3	3
(5,2,1,6)	-1122.63	-1123.27	-1114.01	0.000179624	9.47392e-05	0.999726	3	3
(7,8,3,2)	-1239.05	-1239.72	-1239.54	0.471315	0.240018	0.288667	7	1
(4,7,1,5)	-1145.31	-1143.31	-1145.42	0.108361	0.795198	0.0964413	2	2
(6,8,5,7)	-1175.07	-1173.02	-1172.09	0.034952	0.273062	0.691986	5	3
(4,7,8,1)	-1232.57	-1230.33	-1230.87	0.062778	0.591842	0.34538	5	2
(8,7,1,6)	-1143.74	-1138.62	-1144.7	0.00594322	0.991782	0.00227448	2	2
(6,1,3,7)	-1025.73	-1025.81	-1003.77	2.90437e-10	2.7041e-10	1	3	3
(5,8,3,6)	-1215.18	-1215.12	-1209.64	0.00390792	0.00414609	0.991946	3	3
(6,2,8,1)	-1220.89	-1216.25	-1220.35	0.00939506	0.974476	0.0161294	2	2
(5,7,4,1)	-1143.31	-1145.42	-1145.31	0.794974	0.0967016	0.108324	1	1
(8,2,4,5)	-1293.13	-1290.73	-1291.84	0.0640638	0.703816	0.23212	5	2
(4,8,3,2)	-1247.8	-1248.81	-1246.46	0.192484	0.0705732	0.736943	3	3
(4,8,6,2)	-1267.07	-1268.48	-1266.93	0.418255	0.102316	0.479429	6	3
(1,6,7,8)	-1143.74	-1144.7	-1138.62	0.00592304	0.00227444	0.991803	3	3
(3,7,1,2)	-1096.39	-1105.21	-1104.67	0.999598	0.000148366	0.000253722	1	1
(6,1,5,2)	-1122.63	-1114.01	-1123.27	0.000179638	0.999726	9.4745e-05	2	2
(2,3,8,1)	-1201.52	-1201.52	-1195.41	0.00220846	0.00220924	0.995582	3	3
(4,5,2,7)	-1197.78	-1192.44	-1196.73	0.0047347	0.981799	0.0134661	2	2
(8,7,4,5)	-1272.23	-1269.44	-1273.24	0.0562564	0.92324	0.0205033	2	2
(1,2,4,7)	-1139.3	-1143.77	-1141.55	0.894984	0.0102312	0.0947851	1	1
(8,4,7,3)	-1224.88	-1226.17	-1225.99	0.623048	0.171809	0.205143	7	1
(2,7,3,8)	-1239.54	-1239.04	-1239.72	0.287763	0.472963	0.239274	7	2
(4,1,7,6)	-1047.51	-1063.57	-1063.57	1	1.0564e-07	1.05665e-07	1	1
(5,1,2,4)	-1145.44	-1146.5	-1143.95	0.173295	0.0596788	0.767026	3	3
(4,5,8,6)	-1258.83	-1253.94	-1258.62	0.00743539	0.983376	0.00918864	2	2
(4,3,6,7)	-1052.89	-1066.14	-1066.19	0.999997	1.76115e-06	1.67835e-06	1	1
(7,6,3,1)	-1003.77	-1025.73	-1025.81	1	2.9082e-10	2.70403e-10	1	1
(6,5,7,4)	-1098.91	-1089.69	-1098.88	9.83034e-05	0.999799	0.000102219	2	2
(3,1,5,7)	-1097.36	-1098.54	-1098.43	0.605365	0.185527	0.209107	7	1
(8,2,3,1)	-1201.52	-1195.41	-1201.52	0.00220894	0.995582	0.00220863	2	2
(1,5,8,6)	-1211.89	-1211.23	-1211.89	0.254945	0.490081	0.254973	7	2
(2,8,3,5)	-1258.96	-1259.05	-1257.71	0.185677	0.169696	0.644626	7	3
(4,2,1,7)	-1141.55	-1143.77	-1139.3	0.0948047	0.01023	0.894965	3	3
(2,4,1,6)	-1116.03	-1113.23	-1118.44	0.0570293	0.937845	0.00512566	2	2
(3,8,1,2)	-1195.41	-1201.52	-1201.52	0.995581	0.00220986	0.00220926	1	1
(5,2,3,8)	-1257.71	-1258.96	-1259.05	0.644785	0.185582	0.169634	7	1
(1,5,3,7)	-1098.42	-1097.36	-1098.54	0.209192	0.605304	0.185505	7	2
(8,1,4,6)	-1213.22	-1210.52	-1213.18	0.0595064	0.879018	0.0614757	2	2
(6,8,4,7)	-1181.6	-1180.74	-1173.16	0.000215143	0.00051134	0.999274	3	3
(8,7,5,2)	-1284.24	-1285.88	-1284.97	0.597054	0.115792	0.287154	6	1
(6,1,2,3)	-1079.53	-1080.21	-1073.3	0.0019625	0.000995241	0.997042	3	3
(3,7,8,2)	-1239.72	-1239.54	-1239.04	0.239206	0.287723	0.473071	7	3
(6,3,8,7)	-1139.9	-1140.54	-1129.79	4.05668e-05	2.14848e-05	0.999938	3	3
(8,6,7,5)	-1175.07	-1173.02	-1172.09	0.0349495	0.273244	0.691807	5	3
(7,2,6,5)	-1117.09	-1102.2	-1117.38	3.40774e-07	0.999999	2.54778e-07	2	2
(3,7,4,6)	-1066.14	-1052.89	-1066.19	1.76064e-06	0.999997	1.67833e-06	2	2
(8,1,4,6)	-1213.22	-1210.52	-1213.18	0.0595064	0.879018	0.0614757	2	2
(6,5,1,8)	-1211.23	-1211.89	-1211.89	0.489747	0.255127	0.255126	7	1
(4,3,6,1)	-1075.53	-1075.02	-1075.21	0.24731	0.412053	0.340637	7	2
(2,7,5,4)	-1197.78	-1196.73	-1192.44	0.00473728	0.0134653	0.981797	3	3
(6,8,2,1)	-1216.25	-1220.89	-1220.35	0.974476	0.00939506	0.0161289	1	1
(1,2,6,5)	-1114.01	-1122.63	-1123.27	0.999725	0.00017988	9.47808e-05	1	1
(6,2,3,8)	-1227.64	-1227.7	-1227.7	0.345933	0.32702	0.327047	7	1
(5,4,6,2)	-1175.4	-1169.77	-1174.1	0.0035324	0.983548	0.0129201	2	2
(3,8,5,1)	-1204.41	-1207.28	-1207.27	0.897948	0.0507715	0.0512805	1	1
(1,3,5,7)	-1097.36	-1098.42	-1098.54	0.6053	0.20919	0.18551	7	1
(8,3,7,6)	-1129.79	-1139.9	-1140.54	0.999938	4.05804e-05	2.14849e-05	1	1
(4,7,3,1)	-1099.84	-1100.06	-1098.65	0.196626	0.157005	0.646369	6	3
(4,8,3,2)	-1247.8	-1248.81	-1246.46	0.192484	0.0705732	0.736943	3	3
(8,4,6,7)	-1173.16	-1181.6	-1180.73	0.999272	0.000215231	0.00051232	1	1
(4,3,7,1)	-1100.06	-1099.84	-1098.65	0.157006	0.196626	0.646368	5	3
(2,3,1,7)	-1104.67	-1096.39	-1105.21	0.000254122	0.999597	0.00014853	2	2
(6,1,8,5)	-1211.89	-1211.89	-1211.23	0.255119	0.255129	0.489752	7	3
(6,2,8,7)	-1203.43	-1204.46	-1199.42	0.017657	0.0063026	0.97604	3	3
(2,4,7,6)	-1100.65	-1122.07	-1122.07	1	4.98375e-10	4.98432e-10	1	1
(6,5,2,7)	-1117.09	-1117.38	-1102.2	3.40757e-07	2.54744e-07	0.999999	3	3
(6,8,7,4)	-1181.6	-1173.16	-1180.74	0.000215145	0.999274	0.00051134	2	2
(7,2,3,1)	-1105.21	-1096.39	-1104.67	0.000148311	0.999597	0.000254201	2	2
(2,6,8,5)	-1272.37	-1271.2	-1272.29	0.189009	0.606268	0.204723	7	2
(6,5,3,4)	-1129.67	-1131.25	-1131.16	0.699293	0.14357	0.157137	1	1
(2,7,5,1)	-1148.64	-1148.1	-1139.98	0.000173884	0.000299996	0.999526	3	3
(8,7,2,1)	-1231.42	-1238.51	-1238.97	0.998646	0.000829703	0.000524309	1	1
(1,7,3,2)	-1104.67	-1105.21	-1096.39	0.000253894	0.000148409	0.999598	3	3
(3,7,2,8)	-1239.72	-1239.04	-1239.54	0.239207	0.47307	0.287723	7	2
(3,4,1,6)	-1075.53	-1075.02	-1075.21	0.24737	0.412041	0.340589	7	2
(1,3,7,2)	-1105.21	-1104.67	-1096.39	0.000148409	0.000253894	0.999598	3	3
(2,1,4,7)	-1139.3	-1141.55	-1143.77	0.894959	0.0948121	0.0102289	1	1
(6,2,3,7)	-1085.8	-1085.82	-1066.81	5.68338e-09	5.5576e-09	1	3	3
(1,3,8,6)	-1166.55	-1166.53	-1164.21	0.080356	0.0822997	0.837344	3	3
(8,2,4,3)	-1248.81	-1247.81	-1246.46	0.0705603	0.192297	0.737142	3	3
(7,5,6,1)	-1059.46	-1046.02	-1059.5	1.46237e-06	0.999997	1.39776e-06	2	2
(1,2,8,6)	-1216.25	-1220.89	-1220.35	0.974482	0.00939219	0.016126	1	1
(2,6,3,4)	-1136.12	-1135.73	-1131.38	0.00853948	0.0125775	0.978883	3	3
(1,6,5,3)	-1076.28	-1076.8	-1074.42	0.124813	0.0743872	0.8008	3	3
(1,2,7,5)	-1139.98	-1148.1	-1148.64	0.999526	0.000300014	0.000173983	1	1
(2,1,6,4)	-1113.23	-1118.44	-1116.03	0.937846	0.00512472	0.0570295	1	1
(4,2,6,5)	-1169.77	-1174.1	-1175.4	0.983546	0.0129214	0.00353297	1	1
